,location,count,percentage
0,United States of America,147,18.47
1,United Kingdom,78,9.75
2,Japan,41,5.12
3,China,37,4.62
4,Germany,37,4.62
5,Italy,34,4.25
6,Australia,31,3.88
7,France,27,3.38
8,Spain,25,3.12
9,Canada,25,3.12
10,Taiwan,24,3.0
11,South Korea,24,3.0
12,India,17,2.12
13,Brazil,17,2.12
14,Russia,13,1.62
15,Netherlands,13,1.62
16,Sweden,11,1.38
17,Turkey,11,1.38
18,Switzerland,10,1.25
19,Czechia,9,1.12
20,Ireland,9,1.12
21,Finland,9,1.12
22,Iran,8,1.0
23,Greece,7,0.88
24,Portugal,7,0.88
25,Thailand,7,0.88
26,Poland,7,0.88
27,Belgium,7,0.88
28,New Zealand,7,0.88
29,Austria,7,0.88
30,Denmark,6,0.75
31,Hungary,6,0.75
32,Chile,6,0.75
33,Hong Kong,6,0.75
34,Israel,6,0.75
35,South Africa,6,0.75
36,Malaysia,5,0.62
37,Romania,4,0.5
38,Norway,4,0.5
39,Saudi Arabia,3,0.38
40,Egypt,3,0.38
41,United Arab Emirates,2,0.25
42,Jordan,2,0.25
43,Pakistan,2,0.25
44,Slovenia,2,0.25
45,Singapore,2,0.25
46,Ukraine,2,0.25
47,Colombia,2,0.25
48,Mexico,2,0.25
49,Slovakia,2,0.25
50,Estonia,2,0.25
51,Latvia,1,0.12
52,Morocco,1,0.12
53,Oman,1,0.12
54,Kenya,1,0.12
55,Argentina,1,0.12
56,Qatar,1,0.12
57,Nigeria,1,0.12
58,Indonesia,1,0.12
59,Cyprus,1,0.12
60,Ghana,1,0.12
61,Bangladesh,1,0.12
62,Serbia,1,0.12
63,Belarus,1,0.12
64,Lebanon,1,0.12
65,Macao,1,0.12
66,Uganda,1,0.12
67,Iceland,1,0.12
68,Luxembourg,1,0.12
69,Lithuania,1,0.12
