,location,count,percentage
0,United States of America,172,12.39
1,Japan,110,7.87
2,United Kingdom,100,7.16
3,China,81,5.8
4,India,56,4.01
5,Germany,48,3.44
6,Brazil,46,3.29
7,Spain,45,3.22
8,Italy,45,3.22
9,Iran,40,2.86
10,Russia,39,2.79
11,France,38,2.72
12,Taiwan,36,2.58
13,Australia,35,2.51
14,Turkey,34,2.43
15,South Korea,31,2.22
16,Canada,30,2.15
17,Egypt,20,1.43
18,Chile,18,1.29
19,Czechia,17,1.22
20,Mexico,17,1.22
21,Thailand,16,1.15
22,Poland,14,1.0
23,Pakistan,14,1.0
24,Malaysia,13,0.93
25,Portugal,13,0.93
26,Netherlands,13,0.93
27,Sweden,12,0.86
28,Austria,11,0.79
29,Switzerland,11,0.79
30,Greece,10,0.72
31,South Africa,10,0.72
32,Finland,9,0.64
33,Ireland,9,0.64
34,Romania,9,0.64
35,Algeria,8,0.57
36,Colombia,8,0.57
37,Hungary,8,0.57
38,New Zealand,8,0.57
39,Belgium,8,0.57
40,Saudi Arabia,7,0.5
41,Denmark,7,0.5
42,Ukraine,6,0.43
43,Tunisia,6,0.43
44,Indonesia,6,0.43
45,Hong Kong,6,0.43
46,Israel,6,0.43
47,Morocco,5,0.36
48,Jordan,5,0.36
49,Norway,5,0.36
50,Slovakia,4,0.29
51,Argentina,4,0.29
52,Nigeria,4,0.29
53,United Arab Emirates,4,0.29
54,Lithuania,3,0.21
55,Latvia,3,0.21
56,Vietnam,3,0.21
57,Lebanon,3,0.21
58,Estonia,3,0.21
59,Croatia,2,0.14
60,Venezuela,2,0.14
61,Macao,2,0.14
62,Cyprus,2,0.14
63,Peru,2,0.14
64,Iraq,2,0.14
65,Iceland,2,0.14
66,Kazakhstan,2,0.14
67,Slovenia,2,0.14
68,Sri Lanka,2,0.14
69,Philippines,2,0.14
70,Singapore,2,0.14
71,Cuba,1,0.07
72,Georgia,1,0.07
73,Bangladesh,1,0.07
74,Tanzania,1,0.07
75,Montenegro,1,0.07
76,Luxembourg,1,0.07
77,Belarus,1,0.07
78,Bulgaria,1,0.07
79,Qatar,1,0.07
80,Kuwait,1,0.07
81,Oman,1,0.07
82,Puerto Rico,1,0.07
83,Kenya,1,0.07
84,Ghana,1,0.07
85,N. Cyprus,1,0.07
86,Malta,1,0.07
87,Uganda,1,0.07
88,Brunei,1,0.07
89,Costa Rica,1,0.07
90,Jamaica,1,0.07
91,Nepal,1,0.07
