,location,count,percentage
0,United States of America,148,15.13
1,United Kingdom,91,9.28
2,Japan,69,7.03
3,China,52,5.3
4,Germany,41,4.18
5,Italy,38,3.87
6,Australia,35,3.57
7,India,31,3.16
8,France,29,2.96
9,Brazil,27,2.75
10,Spain,27,2.75
11,Canada,26,2.65
12,Taiwan,26,2.65
13,South Korea,25,2.55
14,Russia,24,2.45
15,Turkey,17,1.73
16,Iran,13,1.33
17,Netherlands,13,1.33
18,Czechia,12,1.22
19,Sweden,11,1.12
20,Chile,10,1.02
21,Switzerland,10,1.02
22,Thailand,9,0.92
23,Ireland,9,0.92
24,Poland,9,0.92
25,Finland,9,0.92
26,Portugal,8,0.82
27,Belgium,8,0.82
28,Egypt,8,0.82
29,South Africa,8,0.82
30,New Zealand,8,0.82
31,Pakistan,7,0.71
32,Denmark,7,0.71
33,Malaysia,7,0.71
34,Austria,7,0.71
35,Mexico,7,0.71
36,Hungary,6,0.61
37,Greece,6,0.61
38,Hong Kong,6,0.61
39,Israel,6,0.61
40,Norway,5,0.51
41,Romania,4,0.41
42,Saudi Arabia,4,0.41
43,Ukraine,4,0.41
44,Jordan,3,0.31
45,Morocco,3,0.31
46,Colombia,3,0.31
47,United Arab Emirates,3,0.31
48,Tunisia,2,0.2
49,Slovakia,2,0.2
50,Cyprus,2,0.2
51,Lithuania,2,0.2
52,Latvia,2,0.2
53,Venezuela,2,0.2
54,Slovenia,2,0.2
55,Indonesia,2,0.2
56,Estonia,2,0.2
57,Singapore,2,0.2
58,Georgia,1,0.1
59,Philippines,1,0.1
60,Algeria,1,0.1
61,Kenya,1,0.1
62,Bulgaria,1,0.1
63,Costa Rica,1,0.1
64,Argentina,1,0.1
65,Nigeria,1,0.1
66,Uganda,1,0.1
67,Sri Lanka,1,0.1
68,Serbia,1,0.1
69,Belarus,1,0.1
70,Oman,1,0.1
71,Kuwait,1,0.1
72,Ghana,1,0.1
73,N. Cyprus,1,0.1
74,Qatar,1,0.1
75,Lebanon,1,0.1
76,Macao,1,0.1
77,Iceland,1,0.1
78,Luxembourg,1,0.1
79,Croatia,1,0.1
