,location,count,percentage
0,United States of America,157,14.25
1,United Kingdom,93,8.43
2,Japan,89,8.07
3,China,63,5.71
4,Germany,44,3.99
5,India,42,3.81
6,Italy,40,3.63
7,Australia,35,3.17
8,Brazil,32,2.9
9,France,31,2.81
10,Taiwan,31,2.81
11,Spain,29,2.63
12,South Korea,27,2.45
13,Russia,27,2.45
14,Canada,26,2.36
15,Turkey,22,1.99
16,Iran,18,1.63
17,Chile,13,1.18
18,Czechia,13,1.18
19,Netherlands,13,1.18
20,Poland,12,1.09
21,Mexico,11,1.0
22,Sweden,11,1.0
23,Pakistan,10,0.91
24,Switzerland,10,0.91
25,Thailand,10,0.91
26,Egypt,9,0.82
27,Ireland,9,0.82
28,Malaysia,9,0.82
29,Finland,9,0.82
30,Portugal,9,0.82
31,New Zealand,8,0.73
32,South Africa,8,0.73
33,Austria,8,0.73
34,Belgium,8,0.73
35,Greece,7,0.63
36,Hungary,7,0.63
37,Denmark,7,0.63
38,Hong Kong,6,0.54
39,Israel,6,0.54
40,Romania,5,0.45
41,Ukraine,5,0.45
42,Norway,5,0.45
43,Colombia,5,0.45
44,Saudi Arabia,5,0.45
45,Indonesia,4,0.36
46,United Arab Emirates,4,0.36
47,Morocco,3,0.27
48,Jordan,3,0.27
49,Venezuela,3,0.27
50,Slovakia,3,0.27
51,Iceland,2,0.18
52,Slovenia,2,0.18
53,Latvia,2,0.18
54,Lithuania,2,0.18
55,Croatia,2,0.18
56,Cyprus,2,0.18
57,Singapore,2,0.18
58,Tunisia,2,0.18
59,Estonia,2,0.18
60,Kenya,1,0.09
61,Bangladesh,1,0.09
62,Argentina,1,0.09
63,Oman,1,0.09
64,Luxembourg,1,0.09
65,Ghana,1,0.09
66,Georgia,1,0.09
67,Nigeria,1,0.09
68,Qatar,1,0.09
69,Costa Rica,1,0.09
70,Sri Lanka,1,0.09
71,Belarus,1,0.09
72,Algeria,1,0.09
73,Uganda,1,0.09
74,Peru,1,0.09
75,Philippines,1,0.09
76,Kuwait,1,0.09
77,N. Cyprus,1,0.09
78,Macao,1,0.09
79,Lebanon,1,0.09
80,Bulgaria,1,0.09
