,Unnamed: 0,location,count,percentage,year,Continent
885,84,Iceland,2,0.09,2023,Europe
886,85,Singapore,2,0.09,2023,Asia
887,86,Zambia,2,0.09,2023,Africa
888,87,Costa Rica,2,0.09,2023,North America
889,88,Botswana,2,0.09,2023,Africa
890,89,Kenya,2,0.09,2023,Africa
891,90,Uganda,2,0.09,2023,Africa
892,91,Tanzania,2,0.09,2023,Africa
893,92,Paraguay,1,0.04,2023,South America
894,93,Kyrgyzstan,1,0.04,2023,Asia
895,94,Malawi,1,0.04,2023,Africa
896,95,Moldova,1,0.04,2023,Europe
897,96,Sudan,1,0.04,2023,Africa
898,97,Mongolia,1,0.04,2023,Asia
899,98,Armenia,1,0.04,2023,Europe
900,99,Somalia,1,0.04,2023,Africa
901,100,Uruguay,1,0.04,2023,South America
902,101,Albania,1,0.04,2023,Europe
903,102,Cambodia,1,0.04,2023,Asia
904,103,Libya,1,0.04,2023,Africa
905,104,Brunei,1,0.04,2023,Asia
906,105,Luxembourg,1,0.04,2023,Europe
907,106,Montenegro,1,0.04,2023,Europe
908,107,Cuba,1,0.04,2023,North America
909,108,Qatar,1,0.04,2023,Asia
910,109,Namibia,1,0.04,2023,Africa
911,110,Zimbabwe,1,0.04,2023,Africa
912,111,Fiji,1,0.04,2023,Oceania
913,112,Puerto Rico,1,0.04,2023,North America
914,113,Mauritius,1,0.04,2023,Africa
915,114,Jamaica,1,0.04,2023,North America
916,115,Mozambique,1,0.04,2023,Africa
917,116,Nepal,1,0.04,2023,Asia
918,117,Malta,1,0.04,2023,Europe
919,118,Kosovo,1,0.04,2023,Europe
