,location,count,percentage
0,United States of America,181,11.74
1,Japan,116,7.6
2,United Kingdom,101,6.62
3,China,91,5.96
4,India,63,4.13
5,Brazil,52,3.41
6,Spain,50,3.28
7,Italy,49,3.21
8,Germany,48,3.15
9,Russia,48,3.15
10,Iran,47,3.08
11,Turkey,43,2.82
12,France,41,2.69
13,Taiwan,38,2.49
14,Australia,37,2.42
15,South Korea,35,2.29
16,Canada,30,1.97
17,Egypt,21,1.38
18,Chile,21,1.38
19,Poland,19,1.25
20,Czechia,18,1.18
21,Thailand,17,1.11
22,Mexico,16,1.05
23,Pakistan,16,1.05
24,Malaysia,15,0.98
25,Romania,13,0.85
26,Netherlands,13,0.85
27,Sweden,12,0.79
28,Portugal,12,0.79
29,South Africa,11,0.72
30,Austria,11,0.72
31,Switzerland,11,0.72
32,Algeria,10,0.66
33,Saudi Arabia,10,0.66
34,Greece,10,0.66
35,Ukraine,9,0.59
36,Hungary,9,0.59
37,Colombia,9,0.59
38,Indonesia,9,0.59
39,Finland,9,0.59
40,Ireland,9,0.59
41,New Zealand,8,0.52
42,Belgium,8,0.52
43,Denmark,7,0.46
44,Israel,7,0.46
45,Slovakia,6,0.39
46,Nigeria,6,0.39
47,Tunisia,6,0.39
48,Hong Kong,6,0.39
49,United Arab Emirates,5,0.33
50,Jordan,5,0.33
51,Morocco,5,0.33
52,Norway,5,0.33
53,Lebanon,4,0.26
54,Argentina,4,0.26
55,Lithuania,4,0.26
56,Estonia,3,0.2
57,Iraq,3,0.2
58,Cyprus,3,0.2
59,Vietnam,3,0.2
60,Kazakhstan,3,0.2
61,Latvia,3,0.2
62,Croatia,2,0.13
63,Slovenia,2,0.13
64,Venezuela,2,0.13
65,Serbia,2,0.13
66,Macao,2,0.13
67,Bangladesh,2,0.13
68,Peru,2,0.13
69,Philippines,2,0.13
70,Sri Lanka,2,0.13
71,Iceland,2,0.13
72,Singapore,2,0.13
73,Ghana,1,0.07
74,Cuba,1,0.07
75,Georgia,1,0.07
76,Kuwait,1,0.07
77,Botswana,1,0.07
78,Belarus,1,0.07
79,Montenegro,1,0.07
80,Brunei,1,0.07
81,Kenya,1,0.07
82,Nepal,1,0.07
83,Oman,1,0.07
84,Puerto Rico,1,0.07
85,N. Cyprus,1,0.07
86,Malta,1,0.07
87,Luxembourg,1,0.07
88,Jamaica,1,0.07
89,Costa Rica,1,0.07
90,Uganda,1,0.07
91,Qatar,1,0.07
92,Bulgaria,1,0.07
