,location,count,percentage
0,United States of America,188,8.91
1,Japan,184,8.71
2,United Kingdom,158,7.48
3,Russia,100,4.73
4,China,97,4.59
5,India,89,4.21
6,Brazil,70,3.31
7,Turkey,66,3.12
8,Iran,62,2.94
9,Italy,53,2.51
10,Spain,53,2.51
11,Germany,52,2.46
12,Pakistan,42,1.99
13,Taiwan,42,1.99
14,France,40,1.89
15,Australia,37,1.75
16,South Korea,37,1.75
17,Egypt,35,1.66
18,Canada,32,1.52
19,Iraq,31,1.47
20,Ukraine,29,1.37
21,Chile,28,1.33
22,Mexico,26,1.23
23,Poland,26,1.23
24,Colombia,25,1.18
25,Thailand,23,1.09
26,Malaysia,22,1.04
27,Saudi Arabia,22,1.04
28,Indonesia,19,0.9
29,Czechia,19,0.9
30,Romania,18,0.85
31,Algeria,15,0.71
32,Portugal,14,0.66
33,Ecuador,13,0.62
34,Netherlands,13,0.62
35,Greece,13,0.62
36,Switzerland,12,0.57
37,Sweden,12,0.57
38,Austria,12,0.57
39,Hungary,11,0.52
40,Finland,11,0.52
41,South Africa,11,0.52
42,Argentina,10,0.47
43,Jordan,10,0.47
44,Uzbekistan,10,0.47
45,Ireland,9,0.43
46,Belgium,9,0.43
47,New Zealand,8,0.38
48,Lebanon,8,0.38
49,Peru,8,0.38
50,Israel,8,0.38
51,Slovakia,8,0.38
52,Denmark,7,0.33
53,Nigeria,7,0.33
54,United Arab Emirates,7,0.33
55,Norway,6,0.28
56,Morocco,6,0.28
57,Hong Kong,6,0.28
58,Vietnam,6,0.28
59,Bangladesh,6,0.28
60,Tunisia,6,0.28
61,Lithuania,5,0.24
62,Estonia,5,0.24
63,Azerbaijan,5,0.24
64,Oman,4,0.19
65,Kazakhstan,4,0.19
66,Palestine,4,0.19
67,Ghana,4,0.19
68,Latvia,4,0.19
69,Slovenia,4,0.19
70,Belarus,4,0.19
71,Croatia,3,0.14
72,Bulgaria,3,0.14
73,Cyprus,3,0.14
74,Philippines,3,0.14
75,N. Cyprus,3,0.14
76,Sri Lanka,3,0.14
77,Serbia,3,0.14
78,Singapore,2,0.09
79,Kenya,2,0.09
80,Costa Rica,2,0.09
81,Nepal,2,0.09
82,Georgia,2,0.09
83,Macao,2,0.09
84,Bahrain,2,0.09
85,Iceland,2,0.09
86,Libya,1,0.05
87,Benin,1,0.05
88,Bosnia and Herz.,1,0.05
89,Cambodia,1,0.05
90,Armenia,1,0.05
91,Moldova,1,0.05
92,Mongolia,1,0.05
93,Turkmenistan,1,0.05
94,Uruguay,1,0.05
95,Montenegro,1,0.05
96,Jamaica,1,0.05
97,Cuba,1,0.05
98,Tanzania,1,0.05
99,Botswana,1,0.05
100,Venezuela,1,0.05
101,Fiji,1,0.05
102,Puerto Rico,1,0.05
103,Malta,1,0.05
104,Kuwait,1,0.05
105,Uganda,1,0.05
106,Ethiopia,1,0.05
107,Brunei,1,0.05
108,Qatar,1,0.05
109,Luxembourg,1,0.05
110,Namibia,1,0.05
