,location,count,percentage
0,United States of America,111,27.75
1,United Kingdom,48,12.0
2,Germany,25,6.25
3,Canada,19,4.75
4,Australia,19,4.75
5,Italy,14,3.5
6,Japan,13,3.25
7,Netherlands,13,3.25
8,France,12,3.0
9,Sweden,10,2.5
10,China,9,2.25
11,Switzerland,8,2.0
12,Taiwan,7,1.75
13,Belgium,7,1.75
14,Spain,7,1.75
15,South Korea,6,1.5
16,Hong Kong,6,1.5
17,Austria,6,1.5
18,New Zealand,6,1.5
19,Denmark,5,1.25
20,Ireland,5,1.25
21,Finland,5,1.25
22,Turkey,5,1.25
23,South Africa,4,1.0
24,Norway,4,1.0
25,Portugal,3,0.75
26,India,3,0.75
27,Israel,3,0.75
28,Russia,2,0.5
29,Brazil,2,0.5
30,Singapore,2,0.5
31,Poland,2,0.5
32,Iceland,1,0.25
33,Czechia,1,0.25
34,Saudi Arabia,1,0.25
35,Iran,1,0.25
36,Greece,1,0.25
37,Thailand,1,0.25
38,Colombia,1,0.25
39,Mexico,1,0.25
40,Estonia,1,0.25
