,location,count,percentage
0,United States of America,172,13.59
1,Japan,103,8.19
2,United Kingdom,98,7.79
3,China,72,5.72
4,India,49,3.9
5,Germany,47,3.74
6,Italy,43,3.42
7,Spain,38,3.02
8,Brazil,36,2.86
9,Australia,35,2.78
10,Russia,35,2.78
11,France,34,2.7
12,Taiwan,32,2.54
13,Iran,29,2.31
14,South Korea,29,2.31
15,Canada,27,2.15
16,Turkey,23,1.83
17,Egypt,19,1.51
18,Mexico,17,1.35
19,Chile,16,1.27
20,Thailand,14,1.11
21,Czechia,14,1.11
22,Portugal,13,1.03
23,Netherlands,13,1.03
24,Poland,12,0.95
25,Sweden,11,0.87
26,Malaysia,11,0.87
27,Switzerland,10,0.79
28,Austria,9,0.72
29,Finland,9,0.72
30,Pakistan,9,0.72
31,South Africa,9,0.72
32,Ireland,9,0.72
33,New Zealand,8,0.64
34,Belgium,8,0.64
35,Greece,8,0.64
36,Romania,7,0.56
37,Colombia,7,0.56
38,Hungary,7,0.56
39,Denmark,7,0.56
40,Saudi Arabia,6,0.48
41,Algeria,6,0.48
42,Israel,6,0.48
43,Hong Kong,6,0.48
44,Indonesia,5,0.4
45,Norway,5,0.4
46,Argentina,5,0.4
47,Morocco,4,0.32
48,Ukraine,4,0.32
49,United Arab Emirates,4,0.32
50,Jordan,4,0.32
51,Tunisia,3,0.24
52,Nigeria,3,0.24
53,Slovakia,3,0.24
54,Latvia,2,0.16
55,Venezuela,2,0.16
56,Kazakhstan,2,0.16
57,Croatia,2,0.16
58,Lithuania,2,0.16
59,Iceland,2,0.16
60,Slovenia,2,0.16
61,Singapore,2,0.16
62,Philippines,2,0.16
63,Estonia,2,0.16
64,Peru,2,0.16
65,Cyprus,2,0.16
66,Lebanon,2,0.16
67,Nepal,1,0.08
68,Kenya,1,0.08
69,Luxembourg,1,0.08
70,Georgia,1,0.08
71,Tanzania,1,0.08
72,Sri Lanka,1,0.08
73,Belarus,1,0.08
74,Macao,1,0.08
75,Qatar,1,0.08
76,Oman,1,0.08
77,Uganda,1,0.08
78,Kuwait,1,0.08
79,Ghana,1,0.08
80,Serbia,1,0.08
81,Jamaica,1,0.08
82,Iraq,1,0.08
83,Costa Rica,1,0.08
84,N. Cyprus,1,0.08
85,Bulgaria,1,0.08
