,location,count,percentage
0,United States of America,109,27.25
1,United Kingdom,49,12.25
2,Germany,26,6.5
3,Canada,19,4.75
4,Australia,19,4.75
5,Italy,15,3.75
6,Netherlands,13,3.25
7,Japan,11,2.75
8,France,11,2.75
9,China,10,2.5
10,Sweden,10,2.5
11,Spain,9,2.25
12,Switzerland,8,2.0
13,Taiwan,8,2.0
14,South Korea,7,1.75
15,Belgium,7,1.75
16,Hong Kong,6,1.5
17,Austria,6,1.5
18,India,5,1.25
19,Turkey,5,1.25
20,New Zealand,5,1.25
21,Ireland,5,1.25
22,Denmark,5,1.25
23,Finland,5,1.25
24,Norway,4,1.0
25,Israel,3,0.75
26,South Africa,3,0.75
27,Saudi Arabia,2,0.5
28,Brazil,2,0.5
29,Singapore,2,0.5
30,Portugal,2,0.5
31,Poland,1,0.25
32,Czechia,1,0.25
33,Greece,1,0.25
34,Iceland,1,0.25
35,Thailand,1,0.25
36,Iran,1,0.25
37,Colombia,1,0.25
38,Russia,1,0.25
39,Estonia,1,0.25
