,location,count,percentage
0,United States of America,179,7.64
1,United Kingdom,163,6.95
2,Japan,152,6.48
3,Russia,103,4.39
4,India,101,4.31
5,China,95,4.05
6,Turkey,80,3.41
7,Brazil,73,3.11
8,Iran,67,2.86
9,Spain,59,2.52
10,Nigeria,58,2.47
11,Italy,56,2.39
12,Pakistan,55,2.35
13,Germany,51,2.17
14,France,46,1.96
15,Taiwan,46,1.96
16,Iraq,45,1.92
17,Egypt,40,1.71
18,Australia,37,1.58
19,South Korea,37,1.58
20,Poland,34,1.45
21,Uzbekistan,32,1.36
22,Canada,31,1.32
23,Ukraine,29,1.24
24,Thailand,28,1.19
25,Mexico,27,1.15
26,Colombia,27,1.15
27,Saudi Arabia,27,1.15
28,Chile,26,1.11
29,Indonesia,25,1.07
30,Algeria,24,1.02
31,Malaysia,22,0.94
32,Romania,22,0.94
33,Czechia,20,0.85
34,Greece,18,0.77
35,South Africa,16,0.68
36,Portugal,16,0.68
37,Bangladesh,15,0.64
38,Jordan,15,0.64
39,Switzerland,14,0.6
40,Netherlands,13,0.55
41,Sweden,13,0.55
42,Austria,13,0.55
43,Hungary,13,0.55
44,Ecuador,13,0.55
45,Belgium,10,0.43
46,Philippines,10,0.43
47,Finland,10,0.43
48,Morocco,10,0.43
49,Tunisia,9,0.38
50,Ireland,9,0.38
51,United Arab Emirates,9,0.38
52,Israel,8,0.34
53,New Zealand,8,0.34
54,Slovakia,8,0.34
55,Belarus,7,0.3
56,Lebanon,7,0.3
57,Denmark,7,0.3
58,Palestine,7,0.3
59,Ghana,6,0.26
60,Norway,6,0.26
61,Peru,6,0.26
62,Kazakhstan,6,0.26
63,Azerbaijan,6,0.26
64,Hong Kong,6,0.26
65,Sri Lanka,6,0.26
66,Vietnam,6,0.26
67,Lithuania,5,0.21
68,Argentina,5,0.21
69,Venezuela,4,0.17
70,Cyprus,4,0.17
71,Slovenia,4,0.17
72,Turkmenistan,4,0.17
73,Latvia,4,0.17
74,Oman,4,0.17
75,Croatia,3,0.13
76,Bulgaria,3,0.13
77,N. Cyprus,3,0.13
78,Ethiopia,3,0.13
79,Estonia,3,0.13
80,Macao,3,0.13
81,Serbia,3,0.13
82,Kuwait,2,0.09
83,Georgia,2,0.09
84,Iceland,2,0.09
85,Singapore,2,0.09
86,Zambia,2,0.09
87,Costa Rica,2,0.09
88,Botswana,2,0.09
89,Kenya,2,0.09
90,Uganda,2,0.09
91,Tanzania,2,0.09
92,Paraguay,1,0.04
93,Kyrgyzstan,1,0.04
94,Malawi,1,0.04
95,Moldova,1,0.04
96,Sudan,1,0.04
97,Mongolia,1,0.04
98,Armenia,1,0.04
99,Somalia,1,0.04
100,Uruguay,1,0.04
101,Albania,1,0.04
102,Cambodia,1,0.04
103,Libya,1,0.04
104,Brunei,1,0.04
105,Luxembourg,1,0.04
106,Montenegro,1,0.04
107,Cuba,1,0.04
108,Qatar,1,0.04
109,Namibia,1,0.04
110,Zimbabwe,1,0.04
111,Fiji,1,0.04
112,Puerto Rico,1,0.04
113,Mauritius,1,0.04
114,Jamaica,1,0.04
115,Mozambique,1,0.04
116,Nepal,1,0.04
117,Malta,1,0.04
118,Kosovo,1,0.04
