,location,count,percentage
0,United States of America,72,36.0
1,United Kingdom,29,14.5
2,Germany,14,7.0
3,Netherlands,10,5.0
4,Canada,9,4.5
5,Australia,7,3.5
6,China,6,3.0
7,Sweden,6,3.0
8,Switzerland,6,3.0
9,Japan,5,2.5
10,South Korea,4,2.0
11,France,4,2.0
12,Hong Kong,4,2.0
13,Taiwan,4,2.0
14,Denmark,3,1.5
15,Spain,2,1.0
16,Belgium,2,1.0
17,Ireland,2,1.0
18,Turkey,2,1.0
19,Singapore,2,1.0
20,Austria,2,1.0
21,South Africa,1,0.5
22,Finland,1,0.5
23,Norway,1,0.5
24,New Zealand,1,0.5
25,Egypt,1,0.5
