,location,count,percentage
0,United States of America,113,28.09
1,United Kingdom,52,12.94
2,Germany,22,5.47
3,Australia,21,5.22
4,Canada,18,4.48
5,Japan,16,3.98
6,Italy,14,3.48
7,Netherlands,13,3.23
8,China,10,2.49
9,Sweden,10,2.49
10,France,8,1.99
11,Spain,8,1.99
12,Taiwan,8,1.99
13,South Korea,7,1.74
14,Belgium,7,1.74
15,Switzerland,7,1.74
16,Hong Kong,6,1.49
17,New Zealand,6,1.49
18,Denmark,5,1.24
19,Austria,5,1.24
20,Finland,5,1.24
21,Ireland,5,1.24
22,Israel,4,1.0
23,Norway,4,1.0
24,Turkey,4,1.0
25,Portugal,4,1.0
26,South Africa,3,0.75
27,Brazil,2,0.5
28,Singapore,2,0.5
29,Russia,2,0.5
30,Poland,2,0.5
31,India,1,0.25
32,Thailand,1,0.25
33,Chile,1,0.25
34,Czechia,1,0.25
35,Greece,1,0.25
36,Iran,1,0.25
37,Egypt,1,0.25
38,Iceland,1,0.25
39,Estonia,1,0.25
